KEYS,COUNT,VALUES
A,1,15
1,2,15/17
2,2,15/17
3,2,15/17
4,2,15/17
5,2,15/17
6,2,15/17
7,2,15/17
8,2,15/17
9,2,15/17
10,2,15/17
11,1,18
12,1,18
13,1,18
14,1,18
15,1,18
